Neighborhoods,Latitude,Longitude
Jabana,-1.8653,30.0550
Gikomero,-1.8788,30.2397
Nduba,-1.8470,30.1243
Rutunga,-1.8457,30.1936
Mageragere,-2.0252578,30.0243131
Nyakabanda,-1.9656,30.0463
Rwezamenyo,-1.9708,30.0535
Niboye,-1.9770,30.1156
Nyarugunga,-1.9781,30.1647
Kigarama,-1.9973,30.0607
Alimosho,6.5744,3.2570
Rusororo,-1.9298,30.2397
Remera, -1.9515,30.1098
Odi-Olowo, 6.5566, 3.3600
Ojuwoye,6.5359,3.3559
Oto-Awori,6.4421,3.4151
Marina,6.453056,3.395833
Kankon,6.4203817,2.7583899
