City,Divisions,Neighborhoods
Kigali,Gasabo,Bumbogo
Kigali,Gasabo,Gatsata
Kigali,Gasabo,Gikomero
Kigali,Gasabo,Gisozi
Kigali,Gasabo,Jabana
Kigali,Gasabo,Jali
Kigali,Gasabo,Kacyiru
Kigali,Gasabo,Kimihurura
Kigali,Gasabo,Kimironko
Kigali,Gasabo,Kinyinya
Kigali,Gasabo,Ndera
Kigali,Gasabo,Nduba
Kigali,Gasabo,Remera
Kigali,Gasabo,Rutunga
Kigali,Gasabo,Rusororo
Kigali,Nyarugenge,Gitega
Kigali,Nyarugenge,Kanyinya
Kigali,Nyarugenge,Kigali
Kigali,Nyarugenge,Kimisagara
Kigali,Nyarugenge,Mageragere
Kigali,Nyarugenge,Muhima
Kigali,Nyarugenge,Nyakabanda
Kigali,Nyarugenge,Nyamirambo
Kigali,Nyarugenge,Nyarugenge
Kigali,Nyarugenge,Rwezamenyo
Kigali,Kicukiro,Kicukiro
Kigali,Kicukiro,Kagarama
Kigali,Kicukiro,Niboye
Kigali,Kicukiro,Gatenga
Kigali,Kicukiro,Gikondo
Kigali,Kicukiro,Gahanga
Kigali,Kicukiro,Kanombe
Kigali,Kicukiro,Nyarugunga
Kigali,Kicukiro,Kigarama
Kigali,Kicukiro,Masaka
Lagos,Ajeromi-Ifelodun,Ajeromi
Lagos,Ajeromi-Ifelodun,Ifelodun
Lagos,Amuwo-Odofin,Amuwo
Lagos,Amuwo-Odofin,Odofin
Lagos,Amuwo-odofin,Oriade
Lagos,Apapa,Apapa
Lagos,Apapa,Iganmu
Lagos,Alimosho,Agbado
Lagos,Alimosho,Akowonjo
Lagos,Alimosho,Egbe
Lagos,Alimosho,Ayobo
Lagos,Alimosho,Egbeda
Lagos,Alimosho,Igando
Lagos,Alimosho,Alimosho
Lagos,Alimosho,Oke-Odo
Lagos,Alimosho,Ipaja
Lagos,Alimosho,Idumu
Lagos,Alimosho,Ikotun
Lagos,Alimosho,Mosan
Lagos,Alimosho,Okunola
Lagos,Agege,Agege
Lagos,Agege,Orile - Agege
Lagos,Badagry,Badagry
Lagos,Badagry,Kankon
Lagos,Badagry,Olorunda
Lagos,Epe,Epe
Lagos,Epe,Eredo
Lagos,Epe,Ikosi
Lagos,Epe,Ejirin
Lagos,Eti-osa,Iru
Lagos,Eti-osa,Victoria Island
Lagos,Eti-osa,Ikoyi
Lagos,Eti-osa,Obalende
Lagos,Eti-osa,Ajah
Lagos,Eti-osa,Eti-osa
Lagos,Ibeju-Lekki,Ibeju
Lagos,Ibeju-Lekki,Lekki
Lagos,Somolu,Somolu
Lagos,Somolu,Bariga
Lagos ,Ifako-Ijaiye,Ifako
Lagos,Ifako-Ijaiye,Ijaiye
Lagos,Ifako-Ijaiye,Ojokoro
Lagos ,Ikeja,Ikeja
Lagos,Ikeja,Ojodu
Lagos,Ikeja,Onigbongbo
Lagos,Ikorodu,Ikorodu
Lagos,Ikorodu,Imota
Lagos,Ikorodu,Ijede
Lagos,Ikorodu,Igbogbo
Lagos,Ikorodu,Bayeku
Lagos,Ikorodu,Isiwu
Lagos,Ikorodu,Ipakodo
Lagos,Kosofe,Kosofe
Lagos,Kosofe,Ketu
Lagos,Kosofe,Agboyi
Lagos,Kosofe,Ikosi
Lagos,Kosofe,Isheri Olofin
Lagos,Lagos island,Marina
Lagos,Lagos Island,Balogun
Lagos,Lagos Island,Broad street
Lagos,Lagos island,Lagos Island
Lagos,Mushin,Yaba
Lagos,Mushin,Mushin
Lagos,Mushin,Odi-Olowo
Lagos,Mushin,Ojuwoye
Lagos,Lagos Mainland,Lagos Mainland
Lagos,Ojo,Ojo
Lagos,Ojo,Oto-Awori
Lagos,Ojo,Iba
Lagos,Oshodi-Isolo,Ejigbo
Lagos,Oshodi-isolo,Isolo
Lagos,Oshodi-Isolo,Oshodi
Lagos,Surelere,Surulere
Lagos,Surulere,Coker
Lagos,Surulere,Aguda
Lagos,Surulere,Itire
Lagos,Surulere,Ikate
